role,seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,exact_train_utility
development,7d29a6f304b1ce58,4200,development,8,25,9,1,1,-0.01000000,0.01000000,7.640259718755e-5
development,7d29a6f304b1ce58,4200,development,9,26,8,0,0,-0.02000000,-0.02000000,8.664435590617e-4
development,7d29a6f304b1ce58,4200,development,9,26,8,1,1,-0.01000000,-0.01000000,4.488012345973e-4
development,7d29a6f304b1ce58,4200,development,10,27,7,0,0,-0.02000000,-0.02000000,-1.431970595149e-4
development,7d29a6f304b1ce58,4200,development,10,27,7,1,1,-0.01000000,-0.01000000,-6.901472806931e-5
development,7d29a6f304b1ce58,4200,development,11,28,6,0,1,-0.02000000,0.01000000,-3.703186812345e-4
development,7d29a6f304b1ce58,4200,development,11,28,6,1,0,-0.01000000,0.02000000,-1.881880016299e-4
development,7d29a6f304b1ce58,4200,development,12,29,5,0,0,0.02000000,0.02000000,4.086004046258e-4
development,7d29a6f304b1ce58,4200,development,12,29,5,1,1,0.01000000,0.01000000,2.189328224631e-4
development,7d29a6f304b1ce58,4200,development,13,30,4,0,1,-0.02000000,0.01000000,-2.374686300755e-5
development,7d29a6f304b1ce58,4200,development,13,30,4,1,0,-0.01000000,0.02000000,-4.334561526775e-5
development,7d29a6f304b1ce58,4200,development,14,31,3,0,1,0.00500000,0.01000000,-3.747021255549e-4
development,7d29a6f304b1ce58,4200,development,14,31,3,1,0,0.01000000,0.02000000,-7.707166369073e-4
development,7d29a6f304b1ce58,4200,development,15,32,2,0,1,0.02000000,0.01000000,4.298947751522e-4
development,7d29a6f304b1ce58,4200,development,15,32,2,1,0,0.01000000,0.02000000,5.582608282566e-4
development,7d29a6f304b1ce58,4200,development,16,33,1,0,0,0.02000000,0.01000000,2.504239382688e-4
development,7d29a6f304b1ce58,4200,development,16,33,1,1,1,0.01000000,0.00500000,1.272931694984e-4
development,7d29a6f304b1ce58,4200,development,17,34,0,0,1,0.02000000,0.01000000,6.191929423949e-5
development,7d29a6f304b1ce58,4200,development,17,34,0,1,0,0.01000000,0.02000000,-1.317895948887e-4
development,7d29a6f304b1ce58,4200,development,18,35,122,0,0,0.02000000,0.02000000,1.722735614749e-4
development,7d29a6f304b1ce58,4200,development,18,35,122,1,1,0.01000000,0.01000000,9.129071986536e-5
development,7d29a6f304b1ce58,4200,development,19,36,121,0,1,0.02000000,-0.01000000,-1.934214233188e-4
development,7d29a6f304b1ce58,4200,development,19,36,121,1,0,0.01000000,-0.02000000,1.115196719184e-4
development,7d29a6f304b1ce58,4200,development,20,37,120,0,1,0.02000000,0.01000000,9.725491509016e-6
development,7d29a6f304b1ce58,4200,development,20,37,120,1,0,0.01000000,0.02000000,6.055955964257e-5
development,7d29a6f304b1ce58,4200,development,21,38,119,0,0,0.02000000,0.00000000,-2.714699658100e-4
development,7d29a6f304b1ce58,4200,development,21,38,119,1,1,0.01000000,-0.02000000,-9.112121915678e-5
development,7d29a6f304b1ce58,4200,development,22,39,118,0,1,0.02000000,0.01000000,1.521048397990e-4
development,7d29a6f304b1ce58,4200,development,22,39,118,1,0,0.01000000,0.02000000,-1.481113285990e-4
development,7d29a6f304b1ce58,4200,development,23,40,117,0,1,-0.02000000,0.01000000,-1.473103930039e-5
development,7d29a6f304b1ce58,4200,development,23,40,117,1,0,-0.01000000,0.02000000,7.827207446098e-5
development,7d29a6f304b1ce58,4200,development,24,41,116,0,0,0.02000000,0.02000000,2.058235259028e-4
development,7d29a6f304b1ce58,4200,development,24,41,116,1,1,0.01000000,0.01000000,1.080818474293e-4
development,7d29a6f304b1ce58,4200,development,25,42,115,0,1,-0.02000000,-0.02000000,-7.457906758646e-5
development,7d29a6f304b1ce58,4200,development,25,42,115,1,0,-0.01000000,0.00000000,-3.604094308685e-5
development,7d29a6f304b1ce58,4200,development,26,43,114,0,1,-0.02000000,0.01000000,-6.872974336147e-5
development,7d29a6f304b1ce58,4200,development,26,43,114,1,0,-0.01000000,0.02000000,-1.047470941558e-4
development,7d29a6f304b1ce58,4200,development,27,44,113,0,1,-0.02000000,0.01000000,1.180420294986e-4
development,7d29a6f304b1ce58,4200,development,27,44,113,1,0,-0.01000000,0.02000000,1.431846321793e-4
development,7d29a6f304b1ce58,4200,development,28,45,112,0,1,-0.02000000,0.01000000,5.349765342544e-5
development,7d29a6f304b1ce58,4200,development,28,45,112,1,0,-0.01000000,0.02000000,1.278382987948e-4
development,7d29a6f304b1ce58,4200,development,29,46,111,0,0,-0.02000000,0.00000000,1.235182116943e-5
development,7d29a6f304b1ce58,4200,development,29,46,111,1,1,-0.01000000,-0.02000000,6.175289399835e-6
development,7d29a6f304b1ce58,4200,development,30,47,110,0,1,-0.02000000,-0.01000000,-2.810446021613e-4
development,7d29a6f304b1ce58,4200,development,30,47,110,1,0,-0.01000000,-0.02000000,-1.817302108975e-4
development,7d29a6f304b1ce58,4200,development,31,48,109,0,1,0.00000000,-0.01000000,1.602284610271e-4
development,7d29a6f304b1ce58,4200,development,31,48,109,1,0,-0.02000000,-0.02000000,3.192828444298e-4
development,7d29a6f304b1ce58,4200,development,32,49,108,0,0,0.00000000,-0.02000000,6.082095205784e-5
development,7d29a6f304b1ce58,4200,development,32,49,108,1,1,-0.02000000,-0.01000000,3.619554263423e-5
development,7d29a6f304b1ce58,4200,development,33,50,107,0,0,0.00000000,0.00000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,development,33,50,107,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,development,34,51,106,0,0,0.00000000,-0.02000000,2.220645546913e-5
development,7d29a6f304b1ce58,4200,development,34,51,106,1,1,-0.02000000,-0.01000000,1.148134469986e-5
development,7d29a6f304b1ce58,4200,development,35,52,105,0,1,0.00000000,-0.01000000,2.138527779607e-4
development,7d29a6f304b1ce58,4200,development,35,52,105,1,0,-0.02000000,-0.02000000,4.246936587151e-4
development,7d29a6f304b1ce58,4200,development,36,53,104,0,0,0.00000000,-0.02000000,7.633430504939e-5
development,7d29a6f304b1ce58,4200,development,36,53,104,1,1,-0.02000000,-0.01000000,5.286869782140e-5
development,7d29a6f304b1ce58,4200,development,37,54,103,0,0,0.00000000,0.00000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,development,37,54,103,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,development,38,55,102,0,1,0.00000000,0.01000000,1.703140587779e-4
development,7d29a6f304b1ce58,4200,development,38,55,102,1,0,-0.02000000,0.02000000,2.911314368248e-4
development,7d29a6f304b1ce58,4200,development,39,56,101,0,0,-0.02000000,0.02000000,1.959620713023e-4
development,7d29a6f304b1ce58,4200,development,39,56,101,1,1,-0.01000000,0.01000000,1.037425026880e-4
development,7d29a6f304b1ce58,4200,development,40,57,100,0,1,-0.02000000,0.01000000,-6.200807547430e-5
development,7d29a6f304b1ce58,4200,development,40,57,100,1,0,-0.01000000,0.02000000,-7.293311500689e-5
development,7d29a6f304b1ce58,4200,development,41,58,99,0,1,-0.02000000,-0.02000000,1.768395304680e-5
development,7d29a6f304b1ce58,4200,development,41,58,99,1,0,-0.01000000,0.00000000,1.597839036549e-5
development,7d29a6f304b1ce58,4200,development,42,59,98,0,1,0.00500000,0.01000000,5.297673124005e-5
development,7d29a6f304b1ce58,4200,development,42,59,98,1,0,0.01000000,0.02000000,1.056641340256e-4
development,7d29a6f304b1ce58,4200,development,43,60,97,0,1,-0.02000000,0.01000000,-2.872142940760e-4
development,7d29a6f304b1ce58,4200,development,43,60,97,1,0,-0.01000000,0.02000000,1.176657751785e-4
development,7d29a6f304b1ce58,4200,development,44,61,96,0,1,0.02000000,0.01000000,-5.324060839484e-5
development,7d29a6f304b1ce58,4200,development,44,61,96,1,0,0.01000000,0.02000000,-8.424744009972e-5
development,7d29a6f304b1ce58,4200,development,45,62,95,0,1,-0.02000000,-0.02000000,-1.575443893671e-4
development,7d29a6f304b1ce58,4200,development,45,62,95,1,0,-0.01000000,0.00000000,-5.341010910342e-5
development,7d29a6f304b1ce58,4200,development,46,63,94,0,1,0.02000000,-0.01000000,-6.522554904222e-4
development,7d29a6f304b1ce58,4200,development,46,63,94,1,0,0.01000000,-0.02000000,-5.042434786446e-4
development,7d29a6f304b1ce58,4200,development,47,64,93,0,1,0.02000000,0.01000000,1.614360808162e-4
development,7d29a6f304b1ce58,4200,development,47,64,93,1,0,0.01000000,0.02000000,2.136547118425e-4
development,7d29a6f304b1ce58,4200,development,48,65,92,0,1,-0.02000000,0.01000000,-2.401738165645e-4
development,7d29a6f304b1ce58,4200,development,48,65,92,1,0,-0.01000000,0.02000000,-1.838641910581e-4
development,7d29a6f304b1ce58,4200,development,49,66,91,0,1,0.02000000,-0.02000000,9.640058124205e-5
development,7d29a6f304b1ce58,4200,development,49,66,91,1,0,0.01000000,0.00000000,5.746384340455e-5
development,7d29a6f304b1ce58,4200,development,50,67,90,0,1,0.02000000,-0.01000000,-2.039285936917e-5
development,7d29a6f304b1ce58,4200,development,50,67,90,1,0,0.01000000,-0.02000000,-8.623240137240e-5
development,7d29a6f304b1ce58,4200,development,51,68,89,0,0,-0.02000000,0.02000000,5.361971561797e-4
development,7d29a6f304b1ce58,4200,development,51,68,89,1,1,-0.01000000,0.01000000,3.233502211515e-4
development,7d29a6f304b1ce58,4200,development,52,69,88,0,1,0.02000000,-0.01000000,-7.772756362101e-5
development,7d29a6f304b1ce58,4200,development,52,69,88,1,0,0.01000000,-0.00500000,-3.340964394738e-5
development,7d29a6f304b1ce58,4200,development,53,70,87,0,0,-0.02000000,0.00000000,1.077136621461e-4
development,7d29a6f304b1ce58,4200,development,53,70,87,1,1,-0.01000000,-0.02000000,5.644001066685e-5
development,7d29a6f304b1ce58,4200,development,54,71,86,0,0,0.02000000,0.00000000,-6.271774327615e-5
development,7d29a6f304b1ce58,4200,development,54,71,86,1,1,0.01000000,-0.02000000,-2.786082586681e-5
development,7d29a6f304b1ce58,4200,development,55,72,85,0,1,-0.02000000,-0.02000000,-1.771996467141e-4
development,7d29a6f304b1ce58,4200,development,55,72,85,1,0,-0.01000000,0.00000000,-7.466040551662e-5
development,7d29a6f304b1ce58,4200,development,56,73,84,0,1,0.02000000,-0.02000000,-2.990247157868e-4
development,7d29a6f304b1ce58,4200,development,56,73,84,1,0,0.01000000,0.00000000,-1.451727002859e-4
development,7d29a6f304b1ce58,4200,development,57,74,83,0,1,-0.02000000,-0.02000000,-2.169863582822e-4
development,7d29a6f304b1ce58,4200,development,57,74,83,1,0,-0.01000000,0.00000000,-8.616410195827e-5
development,7d29a6f304b1ce58,4200,development,58,75,82,0,0,-0.02000000,0.00000000,-8.490184700349e-5
development,7d29a6f304b1ce58,4200,development,58,75,82,1,1,-0.01000000,-0.02000000,-3.746772927116e-5
development,7d29a6f304b1ce58,4200,development,59,76,81,0,0,0.02000000,0.00000000,-7.795232231729e-4
development,7d29a6f304b1ce58,4200,development,59,76,81,1,1,0.01000000,-0.02000000,-3.601169737522e-4
development,7d29a6f304b1ce58,4200,development,60,77,80,0,1,-0.02000000,-0.02000000,-2.647874352988e-4
development,7d29a6f304b1ce58,4200,development,60,77,80,1,0,-0.01000000,0.00000000,-9.723007678986e-5
development,7d29a6f304b1ce58,4200,development,61,78,79,0,1,0.02000000,-0.01000000,-8.720687474124e-4
development,7d29a6f304b1ce58,4200,development,61,78,79,1,0,0.01000000,-0.02000000,-1.723994850181e-3
development,7d29a6f304b1ce58,4200,evaluation,1,18,16,0,0,-0.02000000,0.02000000,-3.060251474380e-4
development,7d29a6f304b1ce58,4200,evaluation,1,18,16,1,1,-0.01000000,0.01000000,-7.578544318676e-5
development,7d29a6f304b1ce58,4200,evaluation,3,20,14,0,0,0.02000000,-0.02000000,-8.627890492789e-4
development,7d29a6f304b1ce58,4200,evaluation,3,20,14,1,1,0.01000000,-0.01000000,-3.423026355449e-4
development,7d29a6f304b1ce58,4200,evaluation,4,21,13,0,1,-0.02000000,-0.00500000,1.168551505543e-3
development,7d29a6f304b1ce58,4200,evaluation,4,21,13,1,0,-0.01000000,-0.01000000,4.243751463946e-4
development,7d29a6f304b1ce58,4200,evaluation,5,22,12,0,0,0.00500000,0.02000000,-5.640828167088e-4
development,7d29a6f304b1ce58,4200,evaluation,5,22,12,1,1,0.01000000,0.01000000,-9.257290512323e-4
development,7d29a6f304b1ce58,4200,evaluation,6,23,11,0,0,-0.02000000,-0.02000000,-4.644213768188e-4
development,7d29a6f304b1ce58,4200,evaluation,6,23,11,1,1,-0.01000000,-0.01000000,-1.833966671256e-4
development,7d29a6f304b1ce58,4200,evaluation,7,24,10,0,1,-0.02000000,0.01000000,5.880619210075e-5
development,7d29a6f304b1ce58,4200,evaluation,7,24,10,1,0,-0.01000000,0.02000000,-2.201025608883e-6
development,7d29a6f304b1ce58,4200,evaluation,8,25,9,0,1,-0.02000000,0.01000000,5.468353629112e-5
development,7d29a6f304b1ce58,4200,evaluation,8,25,9,1,0,-0.01000000,0.02000000,1.137455328717e-4
development,7d29a6f304b1ce58,4200,evaluation,9,26,8,0,1,-0.02000000,-0.01000000,4.846608790103e-4
development,7d29a6f304b1ce58,4200,evaluation,9,26,8,1,0,-0.01000000,-0.02000000,8.067463641055e-4
development,7d29a6f304b1ce58,4200,evaluation,10,27,7,0,1,-0.02000000,-0.01000000,-5.722977221012e-5
development,7d29a6f304b1ce58,4200,evaluation,10,27,7,1,0,-0.01000000,-0.02000000,-1.547615975142e-4
development,7d29a6f304b1ce58,4200,evaluation,11,28,6,0,0,-0.02000000,0.02000000,-3.903309407178e-4
development,7d29a6f304b1ce58,4200,evaluation,11,28,6,1,1,-0.01000000,0.01000000,-1.664341689320e-4
development,7d29a6f304b1ce58,4200,evaluation,12,29,5,0,1,0.02000000,0.01000000,2.064916043309e-4
development,7d29a6f304b1ce58,4200,evaluation,12,29,5,1,0,0.01000000,0.02000000,4.167960432824e-4
development,7d29a6f304b1ce58,4200,evaluation,13,30,4,0,0,-0.02000000,0.02000000,-5.044601857662e-5
development,7d29a6f304b1ce58,4200,evaluation,13,30,4,1,1,-0.01000000,0.01000000,-7.586553692818e-6
development,7d29a6f304b1ce58,4200,evaluation,14,31,3,0,0,0.00500000,0.02000000,-6.047151982784e-4
development,7d29a6f304b1ce58,4200,evaluation,14,31,3,1,1,0.01000000,0.01000000,-5.407581920736e-4
development,7d29a6f304b1ce58,4200,evaluation,15,32,2,0,0,0.02000000,0.02000000,6.535903667100e-4
development,7d29a6f304b1ce58,4200,evaluation,15,32,2,1,1,0.01000000,0.01000000,3.345254808664e-4
development,7d29a6f304b1ce58,4200,evaluation,16,33,1,0,1,0.02000000,0.00500000,3.082243201789e-4
development,7d29a6f304b1ce58,4200,evaluation,16,33,1,1,0,0.01000000,0.01000000,6.951267278055e-5
development,7d29a6f304b1ce58,4200,evaluation,17,34,0,0,0,0.02000000,0.02000000,-1.014228910208e-4
development,7d29a6f304b1ce58,4200,evaluation,17,34,0,1,1,0.01000000,0.01000000,1.807883381844e-5
development,7d29a6f304b1ce58,4200,evaluation,18,35,122,0,1,0.02000000,0.01000000,1.533155591460e-4
development,7d29a6f304b1ce58,4200,evaluation,18,35,122,1,0,0.01000000,0.02000000,1.101655288949e-4
development,7d29a6f304b1ce58,4200,evaluation,19,36,121,0,0,0.02000000,-0.02000000,-1.430337579222e-4
development,7d29a6f304b1ce58,4200,evaluation,19,36,121,1,1,0.01000000,-0.01000000,5.640399831464e-5
development,7d29a6f304b1ce58,4200,evaluation,20,37,120,0,0,0.02000000,0.02000000,4.135196286370e-5
development,7d29a6f304b1ce58,4200,evaluation,20,37,120,1,1,0.01000000,0.01000000,2.745414712990e-5
development,7d29a6f304b1ce58,4200,evaluation,21,38,119,0,1,0.02000000,-0.02000000,-2.714699658100e-4
development,7d29a6f304b1ce58,4200,evaluation,21,38,119,1,0,0.01000000,0.00000000,-9.112121915678e-5
development,7d29a6f304b1ce58,4200,evaluation,22,39,118,0,0,0.02000000,0.02000000,-2.012277582253e-5
development,7d29a6f304b1ce58,4200,evaluation,22,39,118,1,1,0.01000000,0.01000000,2.396479249001e-5
development,7d29a6f304b1ce58,4200,evaluation,23,40,117,0,0,-0.02000000,0.02000000,4.059324783157e-5
development,7d29a6f304b1ce58,4200,evaluation,23,40,117,1,1,-0.01000000,0.01000000,2.225115895271e-5
development,7d29a6f304b1ce58,4200,evaluation,24,41,116,0,1,0.02000000,0.01000000,1.536483614473e-4
development,7d29a6f304b1ce58,4200,evaluation,24,41,116,1,0,0.01000000,0.02000000,1.599664537935e-4
development,7d29a6f304b1ce58,4200,evaluation,25,42,115,0,0,-0.02000000,0.00000000,-7.457906758646e-5
development,7d29a6f304b1ce58,4200,evaluation,25,42,115,1,1,-0.01000000,-0.02000000,-3.604094308685e-5
development,7d29a6f304b1ce58,4200,evaluation,26,43,114,0,0,-0.02000000,0.02000000,-1.163724809885e-4
development,7d29a6f304b1ce58,4200,evaluation,26,43,114,1,1,-0.01000000,0.01000000,-5.747812610934e-5
development,7d29a6f304b1ce58,4200,evaluation,27,44,113,0,0,-0.02000000,0.02000000,1.725517213345e-4
development,7d29a6f304b1ce58,4200,evaluation,27,44,113,1,1,-0.01000000,0.01000000,8.803047239780e-5
development,7d29a6f304b1ce58,4200,evaluation,28,45,112,0,0,-0.02000000,0.02000000,1.039567068801e-4
development,7d29a6f304b1ce58,4200,evaluation,28,45,112,1,1,-0.01000000,0.01000000,7.114931941032e-5
development,7d29a6f304b1ce58,4200,evaluation,29,46,111,0,1,-0.02000000,-0.02000000,1.235182116943e-5
development,7d29a6f304b1ce58,4200,evaluation,29,46,111,1,0,-0.01000000,0.00000000,6.175289399835e-6
development,7d29a6f304b1ce58,4200,evaluation,30,47,110,0,0,-0.02000000,-0.02000000,-3.374063817319e-4
development,7d29a6f304b1ce58,4200,evaluation,30,47,110,1,1,-0.01000000,-0.01000000,-1.300126314163e-4
development,7d29a6f304b1ce58,4200,evaluation,31,48,109,0,0,0.00000000,-0.02000000,3.192828444298e-4
development,7d29a6f304b1ce58,4200,evaluation,31,48,109,1,1,-0.02000000,-0.01000000,1.602284610271e-4
development,7d29a6f304b1ce58,4200,evaluation,32,49,108,0,1,0.00000000,-0.01000000,3.619554263423e-5
development,7d29a6f304b1ce58,4200,evaluation,32,49,108,1,0,-0.02000000,-0.02000000,6.082095205784e-5
development,7d29a6f304b1ce58,4200,evaluation,33,50,107,0,1,0.00000000,-0.02000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,evaluation,33,50,107,1,0,-0.02000000,0.00000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,evaluation,34,51,106,0,1,0.00000000,-0.01000000,1.148134469986e-5
development,7d29a6f304b1ce58,4200,evaluation,34,51,106,1,0,-0.02000000,-0.02000000,2.220645546913e-5
development,7d29a6f304b1ce58,4200,evaluation,35,52,105,0,0,0.00000000,-0.02000000,4.246936587151e-4
development,7d29a6f304b1ce58,4200,evaluation,35,52,105,1,1,-0.02000000,-0.01000000,2.138527779607e-4
development,7d29a6f304b1ce58,4200,evaluation,36,53,104,0,1,0.00000000,-0.01000000,5.286869782140e-5
development,7d29a6f304b1ce58,4200,evaluation,36,53,104,1,0,-0.02000000,-0.02000000,7.633430504939e-5
development,7d29a6f304b1ce58,4200,evaluation,37,54,103,0,1,0.00000000,-0.02000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,evaluation,37,54,103,1,0,-0.02000000,0.00000000,0.000000000000e0
development,7d29a6f304b1ce58,4200,evaluation,38,55,102,0,0,0.00000000,0.02000000,2.911314368248e-4
development,7d29a6f304b1ce58,4200,evaluation,38,55,102,1,1,-0.02000000,0.01000000,1.703140587779e-4
development,7d29a6f304b1ce58,4200,evaluation,39,56,101,0,1,-0.02000000,0.01000000,9.854758536676e-5
development,7d29a6f304b1ce58,4200,evaluation,39,56,101,1,0,-0.01000000,0.02000000,2.029910683632e-4
development,7d29a6f304b1ce58,4200,evaluation,40,57,100,0,0,-0.02000000,0.02000000,-9.266100823879e-5
development,7d29a6f304b1ce58,4200,evaluation,40,57,100,1,1,-0.01000000,0.01000000,-4.337541759014e-5
development,7d29a6f304b1ce58,4200,evaluation,41,58,99,0,0,-0.02000000,0.00000000,1.768395304680e-5
development,7d29a6f304b1ce58,4200,evaluation,41,58,99,1,1,-0.01000000,-0.02000000,1.597839036549e-5
development,7d29a6f304b1ce58,4200,evaluation,42,59,98,0,0,0.00500000,0.02000000,1.106082127080e-4
development,7d29a6f304b1ce58,4200,evaluation,42,59,98,1,1,0.01000000,0.01000000,4.769240695168e-5
development,7d29a6f304b1ce58,4200,evaluation,43,60,97,0,0,-0.02000000,0.02000000,-1.370664685965e-4
development,7d29a6f304b1ce58,4200,evaluation,43,60,97,1,1,-0.01000000,0.01000000,-3.348042446305e-5
development,7d29a6f304b1ce58,4200,evaluation,44,61,96,0,0,0.02000000,0.02000000,-9.515633428236e-5
development,7d29a6f304b1ce58,4200,evaluation,44,61,96,1,1,0.01000000,0.01000000,-4.072238880326e-5
development,7d29a6f304b1ce58,4200,evaluation,45,62,95,0,0,-0.02000000,0.00000000,-1.575443893671e-4
development,7d29a6f304b1ce58,4200,evaluation,45,62,95,1,1,-0.01000000,-0.02000000,-5.341010910342e-5
development,7d29a6f304b1ce58,4200,evaluation,46,63,94,0,0,0.02000000,-0.02000000,-8.608351345174e-4
development,7d29a6f304b1ce58,4200,evaluation,46,63,94,1,1,0.01000000,-0.01000000,-3.301377000753e-4
development,7d29a6f304b1ce58,4200,evaluation,47,64,93,0,0,0.02000000,0.02000000,2.133746893378e-4
development,7d29a6f304b1ce58,4200,evaluation,47,64,93,1,1,0.01000000,0.01000000,1.437148748664e-4
development,7d29a6f304b1ce58,4200,evaluation,48,65,92,0,0,-0.02000000,0.02000000,-2.905136498157e-4
development,7d29a6f304b1ce58,4200,evaluation,48,65,92,1,1,-0.01000000,0.01000000,-1.332964748144e-4
development,7d29a6f304b1ce58,4200,evaluation,49,66,91,0,0,0.02000000,0.00000000,9.640058124205e-5
development,7d29a6f304b1ce58,4200,evaluation,49,66,91,1,1,0.01000000,-0.02000000,5.746384340455e-5
development,7d29a6f304b1ce58,4200,evaluation,50,67,90,0,0,0.02000000,-0.02000000,-7.244385778904e-5
development,7d29a6f304b1ce58,4200,evaluation,50,67,90,1,1,0.01000000,-0.01000000,-3.408826887608e-5
development,7d29a6f304b1ce58,4200,evaluation,51,68,89,0,1,-0.02000000,0.01000000,2.980362623930e-4
development,7d29a6f304b1ce58,4200,evaluation,51,68,89,1,0,-0.01000000,0.02000000,5.582720041275e-4
development,7d29a6f304b1ce58,4200,evaluation,52,69,88,0,0,0.02000000,-0.00500000,-8.523836731911e-5
development,7d29a6f304b1ce58,4200,evaluation,52,69,88,1,1,0.01000000,-0.01000000,-2.558839878475e-5
development,7d29a6f304b1ce58,4200,evaluation,53,70,87,0,1,-0.02000000,-0.02000000,1.077136621461e-4
development,7d29a6f304b1ce58,4200,evaluation,53,70,87,1,0,-0.01000000,0.00000000,5.644001066685e-5
development,7d29a6f304b1ce58,4200,evaluation,54,71,86,0,1,0.02000000,-0.02000000,-6.271774327615e-5
development,7d29a6f304b1ce58,4200,evaluation,54,71,86,1,0,0.01000000,0.00000000,-2.786082586681e-5
development,7d29a6f304b1ce58,4200,evaluation,55,72,85,0,0,-0.02000000,0.00000000,-1.771996467141e-4
development,7d29a6f304b1ce58,4200,evaluation,55,72,85,1,1,-0.01000000,-0.02000000,-7.466040551662e-5
development,7d29a6f304b1ce58,4200,evaluation,56,73,84,0,0,0.02000000,0.00000000,-2.990247157868e-4
development,7d29a6f304b1ce58,4200,evaluation,56,73,84,1,1,0.01000000,-0.02000000,-1.451727002859e-4
development,7d29a6f304b1ce58,4200,evaluation,57,74,83,0,0,-0.02000000,0.00000000,-2.169863582822e-4
development,7d29a6f304b1ce58,4200,evaluation,57,74,83,1,1,-0.01000000,-0.02000000,-8.616410195827e-5
development,7d29a6f304b1ce58,4200,evaluation,58,75,82,0,1,-0.02000000,-0.02000000,-8.490184700349e-5
development,7d29a6f304b1ce58,4200,evaluation,58,75,82,1,0,-0.01000000,0.00000000,-3.746772927116e-5
development,7d29a6f304b1ce58,4200,evaluation,59,76,81,0,1,0.02000000,-0.02000000,-7.795232231729e-4
development,7d29a6f304b1ce58,4200,evaluation,59,76,81,1,0,0.01000000,0.00000000,-3.601169737522e-4
development,7d29a6f304b1ce58,4200,evaluation,60,77,80,0,0,-0.02000000,0.00000000,-2.647874352988e-4
development,7d29a6f304b1ce58,4200,evaluation,60,77,80,1,1,-0.01000000,-0.02000000,-9.723007678986e-5
development,7d29a6f304b1ce58,4200,evaluation,61,78,79,0,0,0.02000000,-0.02000000,-1.821852638386e-3
development,7d29a6f304b1ce58,4200,evaluation,61,78,79,1,1,0.01000000,-0.01000000,-7.742109592073e-4
development,b0625e91d83f47ac,600,development,1,108,106,0,0,0.02000000,0.00000000,-8.203648030758e-5
development,b0625e91d83f47ac,600,development,1,108,106,1,1,0.01000000,-0.02000000,-3.973146158387e-5
development,b0625e91d83f47ac,600,development,2,109,105,0,0,0.02000000,0.02000000,1.596286892891e-6
development,b0625e91d83f47ac,600,development,2,109,105,1,1,0.01000000,0.01000000,1.929700374603e-6
development,b0625e91d83f47ac,600,development,3,110,104,0,1,0.02000000,0.01000000,-5.082413554192e-5
development,b0625e91d83f47ac,600,development,3,110,104,1,0,0.01000000,0.02000000,-3.127070885967e-5
development,b0625e91d83f47ac,600,development,4,111,103,0,1,0.00000000,-0.02000000,0.000000000000e0
development,b0625e91d83f47ac,600,development,4,111,103,1,0,-0.02000000,0.00000000,0.000000000000e0
development,b0625e91d83f47ac,600,development,5,112,102,0,0,-0.02000000,0.02000000,-3.794829171966e-5
development,b0625e91d83f47ac,600,development,5,112,102,1,1,-0.01000000,0.01000000,-1.832408270275e-5
development,b0625e91d83f47ac,600,development,6,113,101,0,1,-0.02000000,-0.01000000,1.901946961880e-4
development,b0625e91d83f47ac,600,development,6,113,101,1,0,-0.01000000,-0.02000000,4.522564631770e-5
development,b0625e91d83f47ac,600,development,7,114,100,0,0,0.00000000,-0.02000000,2.515334635973e-4
development,b0625e91d83f47ac,600,development,7,114,100,1,1,-0.02000000,-0.01000000,1.269206404686e-4
development,b0625e91d83f47ac,600,development,8,115,99,0,0,0.00000000,0.00000000,0.000000000000e0
development,b0625e91d83f47ac,600,development,8,115,99,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,b0625e91d83f47ac,600,development,9,116,98,0,1,-0.02000000,-0.02000000,-3.383470175322e-4
development,b0625e91d83f47ac,600,development,9,116,98,1,0,-0.01000000,0.00000000,-1.678528933553e-4
development,b0625e91d83f47ac,600,development,10,117,97,0,1,-0.02000000,-0.01000000,-3.768255191972e-5
development,b0625e91d83f47ac,600,development,10,117,97,1,0,-0.01000000,-0.02000000,-1.924478710862e-4
development,b0625e91d83f47ac,600,development,11,118,96,0,0,-0.02000000,-0.02000000,2.192755491706e-4
development,b0625e91d83f47ac,600,development,11,118,96,1,1,-0.01000000,-0.01000000,1.101133748307e-4
development,b0625e91d83f47ac,600,development,12,119,95,0,1,0.00000000,-0.02000000,0.000000000000e0
development,b0625e91d83f47ac,600,development,12,119,95,1,0,-0.02000000,0.00000000,0.000000000000e0
development,b0625e91d83f47ac,600,development,13,120,94,0,1,-0.02000000,0.00500000,1.384336501360e-4
development,b0625e91d83f47ac,600,development,13,120,94,1,0,-0.01000000,0.01000000,1.422340719728e-4
development,b0625e91d83f47ac,600,development,14,121,93,0,0,0.02000000,-0.02000000,-1.239118428202e-4
development,b0625e91d83f47ac,600,development,14,121,93,1,1,0.01000000,-0.01000000,-4.638607424567e-5
