role,seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,utility_alpha_0_5,utility_alpha_1,utility_alpha_2
development,c31975a60de248bf,600,evaluation,67,153,19,1,0,-0.02000000,-0.02000000,1.029608120007e-5,4.024555437354e-6,-5.822132152389e-5
development,c31975a60de248bf,600,evaluation,68,154,18,0,0,0.02000000,0.01000000,-3.161902350257e-5,-6.949156522751e-5,-1.713242381811e-4
development,c31975a60de248bf,600,evaluation,68,154,18,1,1,0.01000000,0.00500000,-1.504023839516e-5,-3.161902350257e-5,-6.949156522751e-5
development,c31975a60de248bf,600,evaluation,69,155,17,0,1,0.02000000,0.01000000,-3.303941339254e-4,-6.734306807630e-4,-1.397282467224e-3
development,c31975a60de248bf,600,evaluation,69,155,17,1,0,0.01000000,0.02000000,-3.411950019654e-4,-6.959711317904e-4,-1.454025506973e-3
development,c31975a60de248bf,600,evaluation,70,156,16,0,1,0.02000000,0.01000000,-2.243804483442e-4,-4.519534704741e-4,-9.185597300529e-4
development,c31975a60de248bf,600,evaluation,70,156,16,1,0,0.01000000,0.02000000,-4.326713678893e-4,-8.799296920188e-4,-1.824112026952e-3
development,c31975a60de248bf,600,evaluation,71,157,15,0,0,0.00000000,0.02000000,-4.333133347245e-6,-9.808689355850e-6,-2.545428833400e-5
development,c31975a60de248bf,600,evaluation,71,157,15,1,1,-0.02000000,0.01000000,-1.713633537292e-6,-4.333133347245e-6,-9.808689355850e-6
development,c31975a60de248bf,600,evaluation,72,158,14,0,0,0.02000000,0.02000000,1.250598579645e-4,2.464900317136e-4,4.673240182456e-4
development,c31975a60de248bf,600,evaluation,72,158,14,1,1,0.01000000,0.01000000,6.296858191490e-5,1.250598579645e-4,2.464900317136e-4
development,c31975a60de248bf,600,evaluation,73,159,13,0,0,0.02000000,0.02000000,4.045913738082e-5,6.276555359364e-5,9.473972022533e-5
development,c31975a60de248bf,600,evaluation,73,159,13,1,1,0.01000000,0.01000000,2.069274523819e-5,4.045913738082e-5,6.276555359364e-5
development,c31975a60de248bf,600,evaluation,74,160,12,0,1,-0.02000000,-0.01000000,3.984073919128e-5,7.947720587254e-5,1.580131502124e-4
development,c31975a60de248bf,600,evaluation,74,160,12,1,0,-0.01000000,-0.02000000,5.477853119373e-5,1.087045893655e-4,2.122037112713e-4
development,c31975a60de248bf,600,evaluation,75,161,11,0,1,0.00000000,0.01000000,7.421399004670e-6,1.501354108768e-5,1.861900091171e-5
development,c31975a60de248bf,600,evaluation,75,161,11,1,0,-0.02000000,0.02000000,7.566685326310e-6,2.556790832386e-6,-3.861077129841e-5
development,c31975a60de248bf,600,evaluation,76,162,10,0,1,-0.02000000,0.01000000,-1.103424801840e-4,-2.217193396064e-4,-4.477718321141e-4
development,c31975a60de248bf,600,evaluation,76,162,10,1,0,-0.01000000,0.02000000,-7.300823926926e-5,-1.468472182751e-4,-3.085744974669e-4
development,c31975a60de248bf,600,evaluation,77,163,9,0,1,-0.02000000,-0.01000000,5.003456026316e-4,9.907825151458e-4,1.936739892699e-3
development,c31975a60de248bf,600,evaluation,77,163,9,1,0,-0.01000000,-0.02000000,2.361020742683e-4,4.620080289897e-4,8.962799911387e-4
development,c31975a60de248bf,600,evaluation,78,164,8,0,0,-0.02000000,0.02000000,4.122282189201e-5,7.829753303668e-5,1.413269637851e-4
development,c31975a60de248bf,600,evaluation,78,164,8,1,1,-0.01000000,0.01000000,2.065797707473e-5,4.122282189201e-5,7.829753303668e-5
development,c31975a60de248bf,600,evaluation,79,165,7,0,0,0.00000000,-0.02000000,-5.758615952800e-5,-1.246463507414e-4,-2.597458660603e-4
development,c31975a60de248bf,600,evaluation,79,165,7,1,1,-0.02000000,-0.01000000,-2.630054950714e-5,-5.758615952800e-5,-1.246463507414e-4
development,c31975a60de248bf,600,evaluation,80,166,6,0,1,-0.02000000,0.01000000,-1.054195090546e-4,-2.119888813468e-4,-4.326179623604e-4
development,c31975a60de248bf,600,evaluation,80,166,6,1,0,-0.01000000,0.02000000,-7.806345820427e-5,-1.624636352062e-4,-3.687670978252e-4
development,c31975a60de248bf,600,evaluation,81,167,5,0,0,-0.02000000,0.02000000,7.152743637562e-5,1.389340759488e-4,2.801051887218e-4
development,c31975a60de248bf,600,evaluation,81,167,5,1,1,-0.01000000,0.01000000,3.626942634583e-5,7.152743637562e-5,1.389340759488e-4
development,c31975a60de248bf,600,evaluation,82,168,4,0,1,-0.02000000,-0.01000000,-2.159575669793e-4,-4.534926265478e-4,-9.930288651958e-4
development,c31975a60de248bf,600,evaluation,82,168,4,1,0,-0.01000000,-0.02000000,-1.293855457334e-4,-2.678216842469e-4,-5.800705403090e-4
development,c31975a60de248bf,600,evaluation,83,169,3,0,0,0.02000000,0.02000000,1.878918410512e-4,3.551995905582e-4,6.186719983816e-4
development,c31975a60de248bf,600,evaluation,83,169,3,1,1,0.01000000,0.01000000,9.664086246630e-5,1.878918410512e-4,3.551995905582e-4
development,c31975a60de248bf,600,evaluation,84,170,2,0,1,-0.02000000,-0.01000000,3.602436336223e-4,6.977897137403e-4,1.314781606197e-3
development,c31975a60de248bf,600,evaluation,84,170,2,1,0,-0.01000000,-0.02000000,2.077737153741e-4,4.185953584965e-4,8.170747314580e-4
development,c31975a60de248bf,600,evaluation,85,0,1,0,1,-0.02000000,0.00500000,8.534267544746e-5,1.762186439009e-4,3.488846123219e-4
development,c31975a60de248bf,600,evaluation,85,0,1,1,0,-0.01000000,0.01000000,7.296415424207e-5,1.451062707929e-4,2.912580966949e-4
development,c31975a60de248bf,2400,development,1,6,4,0,1,-0.02000000,-0.01000000,2.640610000526e-5,1.528921166027e-5,-2.589964715298e-4
development,c31975a60de248bf,2400,development,1,6,4,1,0,-0.01000000,-0.02000000,-1.801798703127e-6,-3.509347516228e-5,-3.005415201187e-4
development,c31975a60de248bf,2400,development,2,7,3,0,0,-0.02000000,-0.02000000,1.375159918098e-4,1.245935709449e-4,-1.074789688573e-4
development,c31975a60de248bf,2400,development,2,7,3,1,1,-0.01000000,-0.01000000,7.241343701025e-5,1.375159918098e-4,1.245935709449e-4
development,c31975a60de248bf,2400,development,3,8,2,0,0,-0.02000000,-0.02000000,3.316315633128e-5,2.539344131947e-5,-1.246612519026e-4
development,c31975a60de248bf,2400,development,3,8,2,1,1,-0.01000000,-0.01000000,2.261934241687e-5,3.316315633128e-5,2.539344131947e-5
development,c31975a60de248bf,2400,development,4,9,1,0,1,-0.02000000,0.01000000,1.333840191364e-5,2.028917333519e-5,3.919626124116e-6
development,c31975a60de248bf,2400,development,4,9,1,1,0,-0.01000000,0.02000000,6.756248330930e-5,1.088188364520e-4,-9.163530921796e-5
development,c31975a60de248bf,2400,development,5,10,0,0,1,-0.02000000,0.01000000,-4.510705821303e-6,-1.724623143673e-5,-1.230451016454e-4
development,c31975a60de248bf,2400,development,5,10,0,1,0,-0.01000000,0.02000000,7.764126166876e-6,-9.668990969658e-6,-1.301815063925e-4
development,c31975a60de248bf,2400,development,6,11,170,0,0,0.02000000,-0.02000000,1.585887075635e-4,3.004726022482e-4,5.362238734961e-4
development,c31975a60de248bf,2400,development,6,11,170,1,1,0.01000000,-0.01000000,8.128583431244e-5,1.585887075635e-4,3.004726022482e-4
development,c31975a60de248bf,2400,development,7,12,169,0,0,0.02000000,-0.02000000,-3.342901763972e-4,-6.800002302043e-4,-1.485281274654e-3
development,c31975a60de248bf,2400,development,7,12,169,1,1,0.01000000,-0.01000000,-1.646497548791e-4,-3.342901763972e-4,-6.800002302043e-4
development,c31975a60de248bf,2400,development,8,13,168,0,1,0.02000000,0.01000000,-1.957640051842e-5,-4.087885099580e-5,-1.106833442464e-4
development,c31975a60de248bf,2400,development,8,13,168,1,0,0.01000000,0.02000000,-7.988760626176e-5,-1.680813729763e-4,-3.680357185658e-4
development,c31975a60de248bf,2400,development,9,14,167,0,1,0.02000000,-0.01000000,1.783737243386e-4,3.412701189518e-4,5.496827070601e-4
development,c31975a60de248bf,2400,development,9,14,167,1,0,0.01000000,-0.02000000,1.370844693156e-4,2.704715880100e-4,5.151244695298e-4
development,c31975a60de248bf,2400,development,10,15,166,0,1,0.02000000,-0.01000000,-6.825911259511e-5,-1.334100961685e-4,-2.566097828094e-4
development,c31975a60de248bf,2400,development,10,15,166,1,0,0.01000000,-0.02000000,-9.363392746309e-5,-1.885394303827e-4,-3.838992270175e-4
development,c31975a60de248bf,2400,development,11,16,165,0,0,-0.02000000,0.00000000,3.892425447702e-4,7.292721420527e-4,1.187782152556e-3
development,c31975a60de248bf,2400,development,11,16,165,1,1,-0.01000000,-0.02000000,2.007000148296e-4,3.889643994626e-4,7.287158514373e-4
development,c31975a60de248bf,2400,development,12,17,164,0,0,-0.02000000,0.02000000,5.435198545456e-5,7.421771442750e-5,1.039914786816e-5
development,c31975a60de248bf,2400,development,12,17,164,1,1,-0.01000000,0.01000000,3.149050098727e-5,5.435198545456e-5,7.421771442750e-5
development,c31975a60de248bf,2400,development,13,18,163,0,0,-0.02000000,-0.02000000,2.761514333542e-4,4.217370005790e-4,2.402911632089e-4
development,c31975a60de248bf,2400,development,13,18,163,1,1,-0.01000000,-0.01000000,1.495735050412e-4,2.761514333542e-4,4.217370005790e-4
development,c31975a60de248bf,2400,development,14,19,162,0,1,-0.02000000,0.01000000,-3.959536552429e-4,-8.629150688648e-4,-2.026651753113e-3
development,c31975a60de248bf,2400,development,14,19,162,1,0,-0.01000000,0.02000000,-1.828937529353e-4,-4.035346210003e-4,-9.566781227477e-4
development,c31975a60de248bf,2400,development,15,20,161,0,1,0.02000000,0.01000000,1.069462523446e-4,7.781386375427e-5,-1.818456948968e-4
development,c31975a60de248bf,2400,development,15,20,161,1,0,0.01000000,0.02000000,1.064781099558e-4,1.794590352802e-4,2.206514327554e-4
development,c31975a60de248bf,2400,development,16,21,160,0,1,0.02000000,-0.01000000,1.211402341141e-4,1.648260949878e-4,6.393467629096e-5
development,c31975a60de248bf,2400,development,16,21,160,1,0,0.01000000,-0.02000000,7.263260340551e-5,1.351137907477e-4,1.905305980472e-4
development,c31975a60de248bf,2400,development,17,22,159,0,1,0.02000000,-0.01000000,2.595633268356e-4,4.232674837112e-4,3.859400749207e-4
development,c31975a60de248bf,2400,development,17,22,159,1,0,0.01000000,-0.02000000,1.073827370419e-4,1.878999173641e-4,2.674975839909e-4
development,c31975a60de248bf,2400,development,18,23,158,0,0,0.02000000,0.02000000,-1.853704452515e-5,-1.052170991898e-4,-5.411244928837e-4
development,c31975a60de248bf,2400,development,18,23,158,1,1,0.01000000,0.01000000,-7.972121238708e-7,-1.853704452515e-5,-1.052170991898e-4
development,c31975a60de248bf,2400,development,19,24,157,0,1,0.02000000,-0.02000000,3.989593533333e-4,6.642527878284e-4,8.345923270099e-4
development,c31975a60de248bf,2400,development,19,24,157,1,0,0.01000000,0.00000000,2.181747258874e-4,3.988252428826e-4,6.639746134169e-4
development,c31975a60de248bf,2400,development,20,25,156,0,0,0.02000000,-0.02000000,-2.819175460900e-5,-2.178667782573e-4,-8.463536505587e-4
development,c31975a60de248bf,2400,development,20,25,156,1,1,0.01000000,-0.01000000,1.517621149105e-5,-2.819175460900e-5,-2.178667782573e-4
development,c31975a60de248bf,2400,development,21,26,155,0,1,-0.02000000,-0.01000000,-3.182229993399e-4,-1.063728122972e-3,-3.081370843574e-3
development,c31975a60de248bf,2400,development,21,26,155,1,0,-0.01000000,-0.02000000,-2.569438365754e-4,-6.065741181374e-4,-1.698412001133e-3
development,c31975a60de248bf,2400,development,22,27,154,0,0,0.02000000,-0.02000000,-3.437213599682e-4,-8.210794185288e-4,-2.137900562957e-3
development,c31975a60de248bf,2400,development,22,27,154,1,1,0.01000000,-0.01000000,-1.504377723904e-4,-3.437213599682e-4,-8.210794185288e-4
development,c31975a60de248bf,2400,development,23,28,153,0,1,-0.02000000,-0.01000000,2.668971719686e-4,4.590725002345e-4,2.882170083467e-4
development,c31975a60de248bf,2400,development,23,28,153,1,0,-0.01000000,-0.02000000,1.702681183815e-4,3.220407816116e-4,5.701134796254e-4
development,c31975a60de248bf,2400,development,24,29,152,0,0,-0.02000000,-0.02000000,-2.661788312253e-4,-6.783853168599e-4,-2.038941485807e-3
development,c31975a60de248bf,2400,development,24,29,152,1,1,-0.01000000,-0.01000000,-1.123895272030e-4,-2.661788312253e-4,-6.783853168599e-4
development,c31975a60de248bf,2400,development,25,30,151,0,0,-0.02000000,0.02000000,1.834426075220e-4,-1.700669527054e-4,-1.311168656684e-3
development,c31975a60de248bf,2400,development,25,30,151,1,1,-0.01000000,0.01000000,2.085088490276e-4,1.834426075220e-4,-1.700669527054e-4
development,c31975a60de248bf,2400,development,26,31,150,0,1,-0.02000000,-0.01000000,-1.191068440676e-4,-4.609338939190e-4,-1.355935470201e-3
development,c31975a60de248bf,2400,development,26,31,150,1,0,-0.01000000,-0.02000000,2.543131449784e-5,-4.579313099384e-5,-3.167092800140e-4
development,c31975a60de248bf,2400,development,27,32,149,0,1,0.02000000,-0.02000000,3.358746471349e-4,6.538865272887e-4,1.237986609340e-3
development,c31975a60de248bf,2400,development,27,32,149,1,0,0.01000000,0.00000000,1.703960151644e-4,3.358696994837e-4,6.538815796375e-4
development,c31975a60de248bf,2400,development,28,33,148,0,0,0.02000000,0.02000000,2.178115209972e-5,2.874620258808e-5,-3.722434121300e-5
development,c31975a60de248bf,2400,development,28,33,148,1,1,0.01000000,0.01000000,1.285721828026e-5,2.178115209972e-5,2.874620258808e-5
development,c31975a60de248bf,2400,development,29,34,147,0,1,0.02000000,0.01000000,2.459467796143e-4,4.322640597820e-4,6.918776780367e-4
development,c31975a60de248bf,2400,development,29,34,147,1,0,0.01000000,0.02000000,3.431706281845e-4,6.666376139037e-4,1.235634088516e-3
development,c31975a60de248bf,2400,development,30,35,146,0,1,-0.02000000,0.01000000,2.988899650518e-4,4.956212942488e-4,2.420395612717e-4
development,c31975a60de248bf,2400,development,30,35,146,1,0,-0.01000000,0.02000000,4.630535840988e-6,-4.646678917197e-6,-1.377711741952e-4
development,c31975a60de248bf,2400,development,31,36,145,0,1,-0.02000000,0.01000000,5.226271969150e-5,3.503511470626e-5,-6.208568811417e-5
development,c31975a60de248bf,2400,development,31,36,145,1,0,-0.01000000,0.02000000,2.070950904454e-5,3.288748484920e-5,-4.383424766274e-6
development,c31975a60de248bf,2400,development,32,37,144,0,0,-0.02000000,0.02000000,1.205001026392e-4,2.637126890477e-4,2.208612859249e-4
development,c31975a60de248bf,2400,development,32,37,144,1,1,-0.01000000,0.01000000,5.067947131465e-5,1.205001026392e-4,2.637126890477e-4
development,c31975a60de248bf,2400,development,33,38,143,0,1,-0.02000000,-0.01000000,1.084314062609e-4,2.235093415948e-4,9.163530921796e-5
development,c31975a60de248bf,2400,development,33,38,143,1,0,-0.01000000,-0.02000000,7.618839299539e-5,1.434863806935e-4,2.905707806349e-4
development,c31975a60de248bf,2400,development,34,39,142,0,1,-0.02000000,0.01000000,-1.237535179825e-4,-2.732680586632e-4,-7.014746661298e-4
development,c31975a60de248bf,2400,development,34,39,142,1,0,-0.01000000,0.02000000,-5.269857865642e-5,-1.149016097770e-4,-2.679526805878e-4
development,c31975a60de248bf,2400,development,35,40,141,0,0,0.02000000,0.00000000,7.051415741444e-5,1.274322421523e-4,2.166020422010e-4
development,c31975a60de248bf,2400,development,35,40,141,1,1,0.01000000,-0.02000000,3.960977119277e-5,7.206387817860e-5,1.305267214775e-4
development,c31975a60de248bf,2400,development,36,41,140,0,0,0.02000000,0.02000000,5.013371628593e-5,9.792484343052e-5,1.863899378804e-4
development,c31975a60de248bf,2400,development,36,41,140,1,1,0.01000000,0.01000000,2.536363899708e-5,5.013371628593e-5,9.792484343052e-5
development,c31975a60de248bf,2400,development,37,42,139,0,0,0.02000000,0.02000000,2.140775322914e-4,3.414539096411e-4,3.015603870153e-4
development,c31975a60de248bf,2400,development,37,42,139,1,1,0.01000000,0.01000000,1.176403238787e-4,2.140775322914e-4,3.414539096411e-4
development,c31975a60de248bf,2400,development,38,43,138,0,1,-0.02000000,-0.01000000,1.309930084972e-4,2.520667912904e-4,4.640743136406e-4
development,c31975a60de248bf,2400,development,38,43,138,1,0,-0.01000000,-0.02000000,1.753562391968e-4,3.316377697047e-4,5.811222945340e-4
development,c31975a60de248bf,2400,development,39,44,137,0,1,-0.02000000,0.01000000,2.835690975189e-5,3.583729267120e-5,3.012269735336e-5
development,c31975a60de248bf,2400,development,39,44,137,1,0,-0.01000000,0.02000000,-2.039410173893e-5,-4.984003680875e-5,-1.253522932529e-4
development,c31975a60de248bf,2400,development,40,45,136,0,0,-0.02000000,0.02000000,9.810552000999e-5,1.925292162923e-4,3.746890870389e-4
development,c31975a60de248bf,2400,development,40,45,136,1,1,-0.01000000,0.01000000,4.947682100465e-5,9.810552000999e-5,1.925292162923e-4
development,c31975a60de248bf,2400,development,41,46,135,0,1,-0.02000000,-0.02000000,-4.346171863290e-6,-1.587842962181e-5,-4.741797965835e-5
development,c31975a60de248bf,2400,development,41,46,135,1,0,-0.01000000,0.02000000,-4.824871666642e-6,-1.133171190304e-5,-3.589938205550e-5
development,c31975a60de248bf,2400,development,42,47,134,0,1,-0.02000000,-0.01000000,-7.338014984271e-5,-1.498386263847e-4,-3.119961766060e-4
development,c31975a60de248bf,2400,development,42,47,134,1,0,-0.01000000,-0.02000000,-3.278131407569e-5,-6.639646744588e-5,-1.360196620226e-4
development,c31975a60de248bf,2400,development,43,48,133,0,1,-0.02000000,-0.01000000,1.205503940582e-4,2.269968390465e-4,4.313196986914e-4
development,c31975a60de248bf,2400,development,43,48,133,1,0,-0.01000000,-0.02000000,6.141079211375e-5,1.219616606249e-4,2.291444689035e-4
development,c31975a60de248bf,2400,development,44,49,132,0,1,-0.02000000,-0.01000000,1.599887946213e-5,3.096771615674e-5,7.872594142100e-5
development,c31975a60de248bf,2400,development,44,49,132,1,0,-0.01000000,-0.02000000,-7.177392831181e-7,-3.136073473797e-6,-7.910653948784e-6
development,c31975a60de248bf,2400,development,45,50,131,0,0,-0.02000000,-0.02000000,5.780408901046e-5,1.146613285528e-4,1.786556094885e-4
development,c31975a60de248bf,2400,development,45,50,131,1,1,-0.01000000,-0.01000000,2.740696072578e-5,5.780408901046e-5,1.146613285528e-4
development,c31975a60de248bf,2400,development,46,51,130,0,0,-0.02000000,-0.02000000,-4.001148045063e-5,-8.111012721201e-5,-1.725976617308e-4
development,c31975a60de248bf,2400,development,46,51,130,1,1,-0.01000000,-0.01000000,-1.986386814679e-5,-4.001148045063e-5,-8.111012721201e-5
development,c31975a60de248bf,2400,development,47,52,129,0,1,0.02000000,-0.01000000,5.573530870606e-5,9.623666846892e-5,1.578119845362e-4
development,c31975a60de248bf,2400,development,47,52,129,1,0,0.01000000,-0.02000000,3.068273144891e-5,5.787486952613e-5,1.003034412861e-4
development,c31975a60de248bf,2400,development,48,53,128,0,1,0.02000000,0.01000000,2.367359957134e-5,5.714967846870e-5,9.434732055524e-5
development,c31975a60de248bf,2400,development,48,53,128,1,0,0.01000000,0.02000000,1.754611730576e-5,2.867790499295e-5,6.687268614769e-5
development,c31975a60de248bf,2400,development,49,54,127,0,0,0.02000000,0.00000000,-1.203827559948e-5,-2.864437738026e-5,-5.358954149415e-5
development,c31975a60de248bf,2400,development,49,54,127,1,1,0.01000000,-0.02000000,3.886719696311e-6,4.973262548447e-6,2.340103264942e-6
development,c31975a60de248bf,2400,development,50,55,126,0,0,0.02000000,0.02000000,4.800719398190e-5,9.104361379286e-5,1.513777970104e-4
development,c31975a60de248bf,2400,development,50,55,126,1,1,0.01000000,0.01000000,2.458877861500e-5,4.800719398190e-5,9.104361379286e-5
development,c31975a60de248bf,2400,development,51,56,125,0,0,0.02000000,-0.02000000,-2.680886536837e-4,-5.769021809101e-4,-1.317751244642e-3
development,c31975a60de248bf,2400,development,51,56,125,1,1,0.01000000,-0.01000000,-1.280096621485e-4,-2.680886536837e-4,-5.769021809101e-4
development,c31975a60de248bf,2400,development,52,57,124,0,1,-0.02000000,0.01000000,-4.906952381134e-5,-2.481359988451e-4,-8.271001279354e-4
development,c31975a60de248bf,2400,development,52,57,124,1,0,-0.01000000,0.02000000,6.658770143986e-5,7.217625534395e-5,-2.467197737133e-5
development,c31975a60de248bf,2400,development,53,58,123,0,0,0.02000000,0.02000000,3.499978629407e-4,5.920914118178e-4,7.497009937651e-4
development,c31975a60de248bf,2400,development,53,58,123,1,1,0.01000000,0.01000000,1.884357334347e-4,3.499978629407e-4,5.920914118178e-4
development,c31975a60de248bf,2400,development,54,59,122,0,1,-0.02000000,0.01000000,-4.314513353165e-4,-9.104379569180e-4,-2.154634566978e-3
development,c31975a60de248bf,2400,development,54,59,122,1,0,-0.01000000,0.02000000,-2.271253615618e-4,-4.717049596366e-4,-1.009584753774e-3
development,c31975a60de248bf,2400,development,55,60,121,0,0,0.02000000,0.02000000,-2.494752407074e-4,-6.380348349921e-4,-1.558037474751e-3
development,c31975a60de248bf,2400,development,55,60,121,1,1,0.01000000,0.01000000,-7.382345938822e-5,-2.494752407074e-4,-6.380348349921e-4
development,c31975a60de248bf,2400,development,56,61,120,0,0,-0.02000000,0.02000000,-4.557917418424e-4,-9.832214564085e-4,-2.373229013756e-3
development,c31975a60de248bf,2400,development,56,61,120,1,1,-0.01000000,0.01000000,-2.197859139415e-4,-4.557917418424e-4,-9.832214564085e-4
development,c31975a60de248bf,2400,development,57,62,119,0,0,0.02000000,0.00000000,5.621090531349e-5,-1.361556351185e-4,-8.986219763756e-4
development,c31975a60de248bf,2400,development,57,62,119,1,1,0.01000000,-0.02000000,9.200038766721e-5,5.711987614632e-5,-1.343426556559e-4
development,c31975a60de248bf,2400,development,58,63,118,0,0,0.02000000,0.00000000,-1.866184175014e-5,-2.016319631366e-4,-1.173775061034e-3
development,c31975a60de248bf,2400,development,58,63,118,1,1,0.01000000,-0.02000000,1.547982355987e-5,-1.866184175014e-5,-2.016319631366e-4
development,c31975a60de248bf,2400,development,59,64,117,0,0,-0.02000000,0.00000000,4.254033046891e-5,5.736015737057e-5,1.591630280018e-5
development,c31975a60de248bf,2400,development,59,64,117,1,1,-0.01000000,-0.02000000,2.397348544037e-5,4.276384788682e-5,5.780719220638e-5
development,c31975a60de248bf,2400,development,60,65,116,0,1,0.02000000,-0.02000000,1.015340312733e-4,2.026241272688e-4,4.021115601063e-4
development,c31975a60de248bf,2400,development,60,65,116,1,0,0.01000000,0.00000000,5.085642260383e-5,1.015340312733e-4,2.026241272688e-4
development,c31975a60de248bf,2400,development,61,66,115,0,0,0.02000000,0.00000000,2.323084772797e-4,3.968825039919e-4,5.012999172322e-4
development,c31975a60de248bf,2400,development,61,66,115,1,1,0.01000000,-0.02000000,1.282456069021e-4,2.358648926020e-4,4.004389047623e-4
development,c31975a60de248bf,2400,development,62,67,114,0,0,-0.02000000,0.00000000,8.197501301765e-4,1.392712816596e-3,1.713202684186e-3
development,c31975a60de248bf,2400,development,62,67,114,1,1,-0.01000000,-0.02000000,4.189827886876e-4,8.197501301765e-4,1.392712816596e-3
development,c31975a60de248bf,2400,development,63,68,113,0,0,-0.02000000,0.00000000,6.059867519070e-5,1.428506075172e-4,1.702525914880e-4
development,c31975a60de248bf,2400,development,63,68,113,1,1,-0.01000000,-0.02000000,2.822838723660e-5,6.059867519070e-5,1.428506075172e-4
development,c31975a60de248bf,2400,development,64,69,112,0,1,-0.02000000,-0.02000000,4.353063923190e-5,7.546631240984e-5,1.106144263758e-4
development,c31975a60de248bf,2400,development,64,69,112,1,0,-0.01000000,0.00000000,2.608882823552e-5,4.308857023716e-5,7.458714389941e-5
development,c31975a60de248bf,2400,development,65,70,111,0,1,0.02000000,0.01000000,7.587298750877e-5,1.477717160014e-4,2.401179372100e-4
development,c31975a60de248bf,2400,development,65,70,111,1,0,0.01000000,0.02000000,3.546476364136e-5,6.952136754990e-5,1.377258449793e-4
development,c31975a60de248bf,2400,development,66,71,110,0,1,-0.02000000,-0.02000000,1.971491874428e-4,2.244121133117e-4,-4.430754634086e-4
development,c31975a60de248bf,2400,development,66,71,110,1,0,-0.01000000,0.00000000,1.506855041953e-4,1.949084253283e-4,2.201677561970e-4
development,c31975a60de248bf,2400,development,67,72,109,0,1,0.02000000,-0.02000000,5.943700671196e-6,1.168685685116e-5,2.305830457772e-5
development,c31975a60de248bf,2400,development,67,72,109,1,0,0.01000000,0.00000000,3.214304570065e-6,6.249174475670e-6,1.230277121067e-5
development,c31975a60de248bf,2400,development,68,73,108,0,0,0.02000000,0.00000000,1.961179077625e-5,3.918074071407e-5,8.619204163551e-5
development,c31975a60de248bf,2400,development,68,73,108,1,1,0.01000000,-0.02000000,8.933246135712e-6,1.786214670574e-5,3.567772728275e-5
development,c31975a60de248bf,2400,development,69,74,107,0,1,0.02000000,0.01000000,5.979898196529e-5,1.190546900034e-4,2.450961619616e-4
development,c31975a60de248bf,2400,development,69,74,107,1,0,0.01000000,0.02000000,3.219147401978e-5,6.790769839427e-5,1.202349885716e-4
development,c31975a60de248bf,2400,development,70,75,106,0,0,0.02000000,0.00000000,-2.841465175152e-5,-5.791771036456e-5,-1.643492578296e-4
development,c31975a60de248bf,2400,development,70,75,106,1,1,0.01000000,-0.02000000,-1.736357808113e-5,-3.515742719173e-5,-7.151501631597e-5
development,c31975a60de248bf,2400,development,71,76,105,0,0,0.02000000,0.00000000,1.242818962055e-5,2.480919101799e-5,9.655766189098e-5
development,c31975a60de248bf,2400,development,71,76,105,1,1,0.01000000,-0.02000000,5.253901235847e-6,1.051463186741e-5,2.178922295570e-5
development,c31975a60de248bf,2400,development,72,77,104,0,1,0.02000000,0.01000000,1.007628907246e-5,2.015195786953e-5,4.024741429021e-5
development,c31975a60de248bf,2400,development,72,77,104,1,0,0.01000000,0.02000000,2.609565854073e-6,5.197400696488e-6,1.038300524669e-5
development,c31975a60de248bf,2400,development,73,78,103,0,1,0.02000000,-0.01000000,-4.973076283932e-5,-1.080017536879e-4,-2.921223640442e-4
development,c31975a60de248bf,2400,development,73,78,103,1,0,0.01000000,-0.02000000,-1.248468906851e-4,-3.255282936152e-4,-8.574618841521e-4
development,c31975a60de248bf,2400,development,74,79,102,0,0,0.00000000,0.02000000,1.223261206178e-4,2.403079270152e-4,4.632609488908e-4
development,c31975a60de248bf,2400,development,74,79,102,1,1,0.00500000,0.01000000,5.959284681012e-5,1.178402453661e-4,2.308127732249e-4
development,c31975a60de248bf,2400,development,75,80,101,0,1,0.02000000,0.01000000,3.988730532001e-5,7.574260234833e-5,1.353373081656e-4
development,c31975a60de248bf,2400,development,75,80,101,1,0,0.01000000,0.02000000,6.878748536110e-5,1.217921599164e-4,1.619191170903e-4
development,c31975a60de248bf,2400,development,76,81,100,0,0,0.02000000,0.02000000,-9.323284029961e-5,-2.199697046308e-4,-5.905113066547e-4
development,c31975a60de248bf,2400,development,76,81,100,1,1,0.01000000,0.01000000,-4.245278614690e-5,-9.323284029961e-5,-2.199697046308e-4
development,c31975a60de248bf,2400,development,77,82,99,0,0,0.02000000,0.02000000,-9.197617328027e-5,-2.202025352744e-4,-7.029597763903e-4
development,c31975a60de248bf,2400,development,77,82,99,1,1,0.01000000,0.01000000,-4.137990254094e-5,-9.197617328027e-5,-2.202025352744e-4
development,c31975a60de248bf,2400,development,78,83,98,0,1,0.02000000,0.01000000,2.924123255070e-4,5.667700315826e-4,1.063691452146e-3
development,c31975a60de248bf,2400,development,78,83,98,1,0,0.01000000,0.02000000,5.079775000922e-4,9.506705100648e-4,1.572263776325e-3
development,c31975a60de248bf,2400,development,79,84,97,0,0,0.02000000,0.02000000,1.919517962961e-4,3.654857573565e-4,6.518525187857e-4
